0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.08539009,-0.03842485,-0.0152074825,-0.15252319,-0.14546537,-0.035509095,-0.20606464,-0.21218216,-0.06265091,-0.24093461,-0.2817967,-0.08997998,-0.05471587,-0.33081764,-0.02080962,-0.06097567,-0.49511254,-0.06049147,-0.07553059,-0.59804636,-0.08935499,-0.075823605,-0.6822041,-0.11029593,-0.014436662,-0.31819326,-0.04118304,-0.090663195,-0.42931527,-0.09989338,-0.17386562,-0.35782033,-0.11728794,-0.20308554,-0.28723478,-0.116611816,0.010537505,-0.2739327,-0.06575411,-0.06286472,-0.3957069,-0.119774885,-0.14719516,-0.34126574,-0.117835745,-0.17861861,-0.27380162,-0.10200374,0.01852405,-0.20867783,-0.09230914,-0.04685855,-0.306579,-0.13684493,-0.11575639,-0.2931175,-0.14027542,-0.14869314,-0.24972367,-0.13077664
-0.092124164,-0.047176838,-0.020797536,-0.15688136,-0.1522386,-0.04530785,-0.21131188,-0.21825713,-0.07407754,-0.25338662,-0.2897506,-0.1022822,-0.048645258,-0.3237854,-0.03700544,-0.06318033,-0.49708283,-0.076431096,-0.080204606,-0.600607,-0.103180766,-0.08508968,-0.68460023,-0.121922776,-0.013756871,-0.30942324,-0.05432746,-0.08779776,-0.43549168,-0.11161611,-0.18021727,-0.3916008,-0.12992056,-0.22418493,-0.33303797,-0.13220218,0.0028449893,-0.26904207,-0.07533553,-0.071201146,-0.39964765,-0.12521584,-0.16091618,-0.36353433,-0.12699205,-0.20372888,-0.30952442,-0.116895355,0.0025006533,-0.21169472,-0.09874351,-0.06337887,-0.31738463,-0.13687477,-0.12983772,-0.31008387,-0.14083749,-0.16705945,-0.27177405,-0.13485883
-0.0941928,-0.062079668,-0.01983849,-0.16137049,-0.16319847,-0.044372886,-0.21643427,-0.22837508,-0.07145277,-0.25859725,-0.29492486,-0.09770422,-0.042301,-0.32385623,-0.046978455,-0.06572771,-0.48979312,-0.086308576,-0.07891029,-0.5840515,-0.111857414,-0.0849334,-0.6636251,-0.12970738,-0.012197614,-0.30755088,-0.061566643,-0.10473138,-0.4304674,-0.116994016,-0.19179833,-0.38828143,-0.13502425,-0.23350179,-0.33120278,-0.13940728,-0.0013495088,-0.26824525,-0.0785846,-0.087966025,-0.39304549,-0.12638421,-0.1759148,-0.36062717,-0.12974213,-0.2206836,-0.31000012,-0.12250292,-0.0060519576,-0.21496308,-0.09743398,-0.08027995,-0.3143373,-0.13439626,-0.14696753,-0.3132053,-0.14117542,-0.18769503,-0.28370193,-0.13856325
-0.091216385,-0.061653256,-0.016775884,-0.15679401,-0.15482634,-0.03984247,-0.21760148,-0.21242774,-0.06718889,-0.26023066,-0.27556983,-0.0937752,-0.046223104,-0.31812283,-0.03491725,-0.06281376,-0.48067075,-0.07383797,-0.07203257,-0.57919043,-0.10170135,-0.07554519,-0.6593324,-0.12142698,-0.014459431,-0.30351055,-0.052130956,-0.096818864,-0.41566455,-0.10632524,-0.18363726,-0.37491363,-0.12667985,-0.2280815,-0.3212384,-0.13298814,-0.00070106983,-0.26479542,-0.0724322,-0.075822175,-0.38265675,-0.120137274,-0.16495296,-0.35004917,-0.124976575,-0.21226758,-0.3013468,-0.11856804,-0.005098462,-0.20930785,-0.0945231,-0.07288355,-0.3021388,-0.13151808,-0.14148134,-0.29698434,-0.13799696,-0.18409875,-0.26358107,-0.134864
-0.095596075,-0.05778587,-0.017279545,-0.16008341,-0.15149415,-0.040881675,-0.21935266,-0.21086133,-0.06895565,-0.26150346,-0.2750963,-0.09620925,-0.049071252,-0.31825683,-0.03503308,-0.06369859,-0.4795269,-0.07538797,-0.07400203,-0.5802095,-0.10424743,-0.07721168,-0.66119933,-0.12492733,-0.015803754,-0.30349573,-0.05350229,-0.0956465,-0.4149235,-0.108850196,-0.18690541,-0.37243462,-0.12759256,-0.23407012,-0.32064518,-0.13245836,-0.001837492,-0.2625366,-0.07562149,-0.076143146,-0.38175425,-0.124851845,-0.1651473,-0.3446598,-0.12773779,-0.2103731,-0.29380405,-0.11982409,-0.006653726,-0.2030229,-0.09990207,-0.07396799,-0.29695264,-0.13924387,-0.14316449,-0.287541,-0.14561458,-0.18531457,-0.25061983,-0.14198795
-0.096533895,-0.058111787,-0.020657964,-0.16480556,-0.15394098,-0.04659612,-0.22815263,-0.21318614,-0.07451572,-0.26721627,-0.27319753,-0.10201605,-0.04451412,-0.3200732,-0.04890687,-0.06454891,-0.4841461,-0.092414126,-0.07410008,-0.58582723,-0.12438212,-0.07935572,-0.66535604,-0.14676103,-0.014976203,-0.30023617,-0.06275296,-0.10694581,-0.41372728,-0.12037624,-0.19506496,-0.3693332,-0.14361356,-0.24224842,-0.31439498,-0.15197434,-0.002947569,-0.25595182,-0.078491345,-0.084338486,-0.36552802,-0.12757535,-0.17409185,-0.33130896,-0.13287233,-0.22371629,-0.28272724,-0.12670906,-0.011464059,-0.19445944,-0.095749594,-0.08204794,-0.28152996,-0.1328551,-0.14966792,-0.2761811,-0.13806182,-0.19383484,-0.24576098,-0.13377556
-0.096533895,-0.058111787,-0.020657964,-0.16480556,-0.15394098,-0.04659612,-0.22815263,-0.21318614,-0.07451572,-0.26721627,-0.27319753,-0.10201605,-0.04451412,-0.3200732,-0.04890687,-0.06454891,-0.4841461,-0.092414126,-0.07410008,-0.58582723,-0.12438212,-0.07935572,-0.66535604,-0.14676103,-0.014976203,-0.30023617,-0.06275296,-0.10694581,-0.41372728,-0.12037624,-0.19506496,-0.3693332,-0.14361356,-0.24224842,-0.31439498,-0.15197434,-0.002947569,-0.25595182,-0.078491345,-0.084338486,-0.36552802,-0.12757535,-0.17409185,-0.33130896,-0.13287233,-0.22371629,-0.28272724,-0.12670906,-0.011464059,-0.19445944,-0.095749594,-0.08204794,-0.28152996,-0.1328551,-0.14966792,-0.2761811,-0.13806182,-0.19383484,-0.24576098,-0.13377556
-0.094082296,-0.05403775,-0.021619434,-0.1660003,-0.14728457,-0.04725761,-0.22899675,-0.20318681,-0.074479744,-0.2613746,-0.26486886,-0.100944035,-0.046797752,-0.3210868,-0.049180053,-0.06863856,-0.48202583,-0.09297345,-0.082603395,-0.58106697,-0.12600823,-0.09124184,-0.65847576,-0.14941864,-0.01647222,-0.30180955,-0.062840044,-0.10745329,-0.4129877,-0.120106325,-0.195808,-0.3662002,-0.14273457,-0.24197453,-0.30996695,-0.15072374,-0.0023871064,-0.25894213,-0.078715906,-0.083599865,-0.37075016,-0.12715852,-0.17200309,-0.33259687,-0.13088019,-0.21897435,-0.2814166,-0.12385932,-0.0071431994,-0.19852078,-0.096451804,-0.08113575,-0.28208274,-0.13426553,-0.14959955,-0.27417985,-0.13920063,-0.19233271,-0.24386841,-0.1343528
-0.09558171,-0.052384377,-0.019689752,-0.1667949,-0.1455077,-0.044035405,-0.22835314,-0.20138836,-0.07103758,-0.2673766,-0.26123106,-0.09774359,-0.050480306,-0.32299396,-0.045615427,-0.076648414,-0.48103535,-0.08786231,-0.09167808,-0.5790161,-0.11882111,-0.10146254,-0.65626156,-0.1406143,-0.018468082,-0.30584642,-0.061296362,-0.109668374,-0.41156816,-0.11957727,-0.19771492,-0.3643157,-0.14288567,-0.2439133,-0.30799738,-0.15076257,-0.0033070445,-0.26241183,-0.07916333,-0.084810674,-0.36698812,-0.13053967,-0.17290878,-0.32735184,-0.13652635,-0.22011212,-0.27637017,-0.13014086,-0.0069617033,-0.2011826,-0.0984722,-0.080560446,-0.28188878,-0.13771494,-0.14827925,-0.27340648,-0.14340855,-0.19095805,-0.24274242,-0.13884866
-0.09355801,-0.04914683,-0.024701843,-0.16588122,-0.14001161,-0.052335594,-0.23231179,-0.19178277,-0.081302874,-0.2634754,-0.25274074,-0.10930259,-0.047079086,-0.318704,-0.050665025,-0.08330184,-0.47658277,-0.0954535,-0.10690999,-0.57405066,-0.12855029,-0.122121066,-0.6528379,-0.15242617,-0.017229855,-0.3002906,-0.064990014,-0.11595261,-0.4089081,-0.12663548,-0.20047328,-0.34870118,-0.14918993,-0.2404061,-0.28580025,-0.15530302,-0.002306819,-0.25682092,-0.08205395,-0.08754128,-0.3692438,-0.13480124,-0.17505604,-0.32266918,-0.13805182,-0.21839061,-0.26757532,-0.12884852,-0.0065464973,-0.19482172,-0.101119235,-0.081952274,-0.28288823,-0.14122482,-0.14992213,-0.2699852,-0.14585385,-0.18900415,-0.23462039,-0.14014548
-0.097465634,-0.049496353,-0.022732232,-0.16858023,-0.14008379,-0.048049588,-0.23213616,-0.1938197,-0.0751381,-0.26310432,-0.25371414,-0.101344295,-0.04898578,-0.31742644,-0.046600405,-0.08617413,-0.47325012,-0.09025347,-0.10963035,-0.5706974,-0.122739665,-0.12468368,-0.6501099,-0.14616552,-0.018190026,-0.30049255,-0.06118764,-0.11360657,-0.40652844,-0.121603124,-0.19905248,-0.34882283,-0.14420481,-0.2403534,-0.28839368,-0.15067765,-0.0036081076,-0.25881046,-0.07855081,-0.08713251,-0.36883637,-0.13062324,-0.17458665,-0.322735,-0.13446668,-0.21811756,-0.2685207,-0.12582323,-0.008572817,-0.19763541,-0.09784087,-0.08407277,-0.2827424,-0.13738291,-0.15217632,-0.26962104,-0.14237688,-0.1919497,-0.2351268,-0.13698739
-0.09309375,-0.047641814,-0.023577493,-0.16247514,-0.1312499,-0.05071291,-0.22638875,-0.17845416,-0.07905105,-0.26452547,-0.2358669,-0.106565975,-0.051656485,-0.30758607,-0.04997117,-0.086612344,-0.46054798,-0.09761517,-0.10848749,-0.56120586,-0.13296203,-0.12033123,-0.64134115,-0.15722749,-0.018346846,-0.29165417,-0.06335603,-0.112778366,-0.39004797,-0.12535967,-0.19635883,-0.32821363,-0.14653276,-0.2335746,-0.26708716,-0.15099919,-0.0018942952,-0.24868083,-0.07978379,-0.085155606,-0.3535791,-0.13433468,-0.17095688,-0.3070968,-0.13760564,-0.21229696,-0.25287414,-0.1273238,-0.0046628714,-0.18689907,-0.09785339,-0.07717115,-0.2686953,-0.13877158,-0.14291093,-0.25648558,-0.14303273,-0.18073541,-0.22310293,-0.13657583
-0.09574467,-0.045259714,-0.021895561,-0.16846514,-0.13218129,-0.046813145,-0.23477685,-0.18094522,-0.07339651,-0.2670178,-0.23957449,-0.09865425,-0.0553028,-0.3075468,-0.040344864,-0.08981335,-0.45672405,-0.08268865,-0.11290848,-0.5561045,-0.115123816,-0.1274131,-0.63218325,-0.13844445,-0.02461344,-0.2933963,-0.05360247,-0.119482815,-0.39143234,-0.111076914,-0.2004947,-0.33251625,-0.13186799,-0.23890042,-0.27237293,-0.13681835,-0.008041322,-0.2527991,-0.06982103,-0.089479744,-0.35584804,-0.11962746,-0.17209741,-0.31010708,-0.12197452,-0.2136172,-0.25549918,-0.112115726,-0.010703325,-0.19109118,-0.08793866,-0.08168286,-0.27001876,-0.1263928,-0.14756644,-0.25715953,-0.13061278,-0.18740529,-0.22262776,-0.12450561
