0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.080525964,-0.06839663,-0.027667081,-0.09677979,-0.21082413,-0.050289128,-0.03184682,-0.30307823,-0.07341532,0.034527957,-0.35170376,-0.094349526,-0.07482487,-0.33126706,-0.03469298,-0.122574866,-0.34739536,-0.09058428,-0.13025859,-0.23903513,-0.1296122,-0.11889303,-0.15506512,-0.15017277,-0.015227199,-0.33329374,-0.0441436,-0.0780195,-0.3561948,-0.10590103,-0.09174794,-0.23304534,-0.12566656,-0.08266872,-0.13758117,-0.124917604,0.039284766,-0.30494684,-0.058964074,-0.019579828,-0.28816593,-0.10239732,-0.037859946,-0.16597718,-0.08906482,-0.03705412,-0.087680995,-0.06894252,0.08075774,-0.26072675,-0.07781965,0.019358635,-0.21953171,-0.09700384,0.002115965,-0.13910991,-0.08072372,0.009361684,-0.10528499,-0.0629426
-0.077780575,-0.07295501,-0.025205834,-0.0929476,-0.2231757,-0.04385471,-0.031087995,-0.3171112,-0.06389088,0.03446734,-0.3645715,-0.0805204,-0.072390944,-0.3306929,-0.02572356,-0.12598303,-0.36247414,-0.07796105,-0.13106275,-0.25463212,-0.112913385,-0.118143946,-0.17255831,-0.1303891,-0.015124619,-0.33336794,-0.035747264,-0.079052985,-0.3661937,-0.0956576,-0.09081817,-0.24413186,-0.113005094,-0.08096963,-0.14896649,-0.10962142,0.034915447,-0.3070799,-0.051808566,-0.025283694,-0.3000179,-0.09471443,-0.04034847,-0.18081218,-0.082477525,-0.037080646,-0.103475034,-0.062070213,0.071920335,-0.2663064,-0.07201576,0.01420331,-0.22960997,-0.09072349,-0.0022315383,-0.15313,-0.07733362,0.004712403,-0.12100577,-0.061338514
-0.07023683,-0.065150976,-0.027235271,-0.07874566,-0.20456076,-0.04649093,-0.016475976,-0.2874624,-0.06538956,0.043525577,-0.3375638,-0.08151476,-0.07258251,-0.29730284,-0.033428445,-0.111582965,-0.3334589,-0.08176059,-0.11133611,-0.23674977,-0.11265283,-0.098597884,-0.16395962,-0.127221,-0.015917182,-0.30088496,-0.039829984,-0.064420015,-0.35334173,-0.09427284,-0.074977934,-0.24511826,-0.11051395,-0.06779432,-0.15797615,-0.10695263,0.035517395,-0.27887756,-0.050858896,-0.006441891,-0.2748536,-0.091525726,-0.022501767,-0.15523475,-0.08071494,-0.023951411,-0.08002895,-0.060910594,0.07508159,-0.24404365,-0.065320954,0.026343942,-0.21140671,-0.08293416,0.011415005,-0.13497359,-0.068744205,0.01605624,-0.10200477,-0.052054886
-0.07023683,-0.065150976,-0.027235271,-0.07874566,-0.20456076,-0.04649093,-0.016475976,-0.2874624,-0.06538956,0.043525577,-0.3375638,-0.08151476,-0.07258251,-0.29730284,-0.033428445,-0.111582965,-0.3334589,-0.08176059,-0.11133611,-0.23674977,-0.11265283,-0.098597884,-0.16395962,-0.127221,-0.015917182,-0.30088496,-0.039829984,-0.064420015,-0.35334173,-0.09427284,-0.074977934,-0.24511826,-0.11051395,-0.06779432,-0.15797615,-0.10695263,0.035517395,-0.27887756,-0.050858896,-0.006441891,-0.2748536,-0.091525726,-0.022501767,-0.15523475,-0.08071494,-0.023951411,-0.08002895,-0.060910594,0.07508159,-0.24404365,-0.065320954,0.026343942,-0.21140671,-0.08293416,0.011415005,-0.13497359,-0.068744205,0.01605624,-0.10200477,-0.052054886
-0.06814021,-0.06356144,-0.024503961,-0.0760259,-0.20096761,-0.043098915,-0.01782763,-0.28604877,-0.06203295,0.03746617,-0.3356827,-0.07818329,-0.070554525,-0.28884363,-0.029433621,-0.10687876,-0.33053613,-0.07758856,-0.106458604,-0.23756659,-0.108541146,-0.09468323,-0.16583186,-0.12330292,-0.015615404,-0.29147553,-0.037117787,-0.05955851,-0.3445166,-0.09193194,-0.06875771,-0.23692161,-0.10825604,-0.060857713,-0.15074837,-0.1049186,0.035073936,-0.27039015,-0.049502235,-0.0052413344,-0.27779955,-0.089207225,-0.018910348,-0.1637066,-0.07674171,-0.017854214,-0.09092724,-0.05638418,0.07490313,-0.23740679,-0.06525623,0.028718531,-0.21914035,-0.08273077,0.015064836,-0.1447227,-0.067931086,0.021172702,-0.11190057,-0.050938454
-0.0627881,-0.062408984,-0.025103947,-0.0674763,-0.19298124,-0.042857956,-0.009281993,-0.272605,-0.060828764,0.046520233,-0.32060218,-0.07524271,-0.0660249,-0.26899546,-0.02373954,-0.099187374,-0.31766856,-0.0672042,-0.09549928,-0.2337485,-0.09448612,-0.08443925,-0.16761291,-0.10602006,-0.01517117,-0.26847094,-0.029517094,-0.04829511,-0.33409482,-0.077877015,-0.05641389,-0.24061799,-0.092792824,-0.05338499,-0.16052938,-0.08875877,0.033908844,-0.24952155,-0.040163055,0.0068246126,-0.26470506,-0.077887714,-0.010753036,-0.1590963,-0.06856359,-0.016168058,-0.08896929,-0.049458757,0.07638347,-0.21965164,-0.05380391,0.042211175,-0.22735435,-0.06904721,0.026032567,-0.15691835,-0.05354003,0.026721597,-0.11658448,-0.03591835
-0.06337571,-0.060334444,-0.024630954,-0.069174826,-0.18726903,-0.042445287,-0.01060462,-0.26605833,-0.060534984,0.04361981,-0.31687298,-0.07552482,-0.06960732,-0.27021098,-0.024013005,-0.09986356,-0.31224912,-0.067551084,-0.09704861,-0.22489667,-0.09548985,-0.087806284,-0.15192091,-0.107031524,-0.019578338,-0.26823497,-0.03048717,-0.05298245,-0.3342711,-0.07749135,-0.062773466,-0.23790294,-0.09199904,-0.061243236,-0.15141809,-0.08797313,0.029552758,-0.24885273,-0.04186748,0.0060029626,-0.2703935,-0.08038848,-0.011438131,-0.16421688,-0.07266084,-0.016671121,-0.09070593,-0.054621316,0.072558105,-0.21955293,-0.055899315,0.03689164,-0.22792643,-0.07224364,0.021541655,-0.15658426,-0.05750042,0.023216963,-0.11422926,-0.040465105
-0.06297186,-0.05971378,-0.022964455,-0.066765845,-0.18981826,-0.03945399,-0.0064481497,-0.2649119,-0.056199543,0.046798944,-0.3104509,-0.070064195,-0.06405726,-0.26691395,-0.025108112,-0.09226805,-0.308196,-0.067006685,-0.09106451,-0.2192033,-0.09323829,-0.08106214,-0.1475178,-0.1045312,-0.013218164,-0.26752454,-0.030871682,-0.046930373,-0.32244673,-0.078211114,-0.054519683,-0.22138274,-0.0914051,-0.04697919,-0.13772488,-0.08659344,0.03485775,-0.24825233,-0.041159503,0.008208454,-0.2666403,-0.076042466,-0.0076609254,-0.16053575,-0.06539961,-0.00981164,-0.08885872,-0.04663058,0.07594514,-0.21833283,-0.054276448,0.043792307,-0.22093153,-0.06881984,0.030364513,-0.15497953,-0.054432984,0.033671796,-0.12073457,-0.03800035
-0.063999474,-0.05600536,-0.022943823,-0.068333924,-0.18680668,-0.0390454,-0.010202408,-0.26358998,-0.05533197,0.041066527,-0.31129056,-0.06852499,-0.06849915,-0.25857598,-0.02608363,-0.09744048,-0.30391705,-0.06842248,-0.09456515,-0.21873951,-0.094282754,-0.08299458,-0.14938486,-0.10533439,-0.016962528,-0.26211315,-0.031992793,-0.051182985,-0.32429352,-0.07959948,-0.057163298,-0.227947,-0.09311982,-0.048710167,-0.1465041,-0.08854247,0.03188777,-0.24485135,-0.04224153,0.0054377317,-0.26148146,-0.0772837,-0.008331537,-0.15331125,-0.06546338,-0.010020018,-0.08280206,-0.045742314,0.073649704,-0.216838,-0.055414062,0.0412997,-0.21775436,-0.06980694,0.029587805,-0.15310377,-0.0549196,0.033094645,-0.12170094,-0.03818222
-0.06470385,-0.059063554,-0.022943126,-0.068158865,-0.18838435,-0.04006433,-0.009168148,-0.26463848,-0.057115793,0.044397414,-0.30943745,-0.07141929,-0.06800762,-0.25600773,-0.030216413,-0.09515786,-0.30773413,-0.07229254,-0.09361249,-0.22343516,-0.09726696,-0.08403143,-0.1549635,-0.1078966,-0.016434848,-0.25701028,-0.036216464,-0.049311757,-0.32434857,-0.08327204,-0.056677908,-0.2275731,-0.09558731,-0.050037265,-0.14720732,-0.09060729,0.032532096,-0.23827124,-0.046160426,0.00560534,-0.2639146,-0.08142186,-0.009226799,-0.1576376,-0.06930131,-0.011118591,-0.087534904,-0.049534354,0.07430637,-0.21016484,-0.058789488,0.041292846,-0.21859837,-0.07378574,0.029266,-0.15381181,-0.058595035,0.033486605,-0.12091488,-0.041714285
