0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.066743016,-0.058574975,-0.0117384745,-0.108377814,-0.17196333,-0.010590056,-0.12792522,-0.2588135,-0.014515025,-0.13379088,-0.32660985,-0.015614711,-0.049895346,-0.22681254,0.026345035,-0.046133995,-0.3102901,0.005816483,-0.047508,-0.3312393,-0.0055602575,-0.05115652,-0.33216292,-0.00828877,-0.01392144,-0.22513372,0.02141843,-0.019329667,-0.29638106,-0.021217423,-0.03096366,-0.21982628,-0.037033174,-0.038648963,-0.151878,-0.032353457,0.022495806,-0.217547,0.011141936,0.018898904,-0.29140395,-0.031385325,0.003142476,-0.21749413,-0.031419184,-0.0058795214,-0.15052384,-0.013840187,0.060127318,-0.20678365,-6.828203e-05,0.07421875,-0.29231894,-0.021872554,0.07730371,-0.35169607,-0.024336716,0.0794456,-0.4062609,-0.018379493
-0.064056605,-0.054695487,-0.014368643,-0.10524768,-0.169828,-0.01305662,-0.12553036,-0.25532115,-0.015382197,-0.1413601,-0.3179754,-0.01649998,-0.05084142,-0.22881126,0.012021404,-0.050606996,-0.31351757,-0.0036587415,-0.05227655,-0.3651873,-0.011233375,-0.055065542,-0.41326442,-0.015595854,-0.013871074,-0.22768176,0.0070260493,-0.02062589,-0.29946637,-0.038966652,-0.032652438,-0.22102207,-0.053777218,-0.039633095,-0.15477395,-0.048035923,0.023893595,-0.21982825,-0.0016504778,0.018702686,-0.29459065,-0.04747461,0.0029641986,-0.21658128,-0.046413362,-0.0061718225,-0.15136075,-0.02778371,0.06159085,-0.20765305,-0.011229531,0.07233381,-0.2956407,-0.03675354,0.07522005,-0.35213172,-0.039800845,0.07707989,-0.40618163,-0.034093317
-0.061858475,-0.05129242,-0.019766726,-0.103878796,-0.17114955,-0.023188362,-0.12524468,-0.25933778,-0.029157493,-0.15103301,-0.31808925,-0.034555655,-0.047791183,-0.24174899,-0.009821814,-0.048243523,-0.35701644,-0.029375175,-0.0442729,-0.42759988,-0.037695237,-0.042828143,-0.48812926,-0.04272121,-0.011576891,-0.23660666,-0.013583718,-0.014974713,-0.2934038,-0.06496333,-0.027506053,-0.20966399,-0.07806453,-0.0371539,-0.14296502,-0.07179269,0.026258588,-0.22315502,-0.020704871,0.026060522,-0.284885,-0.06937122,0.0073598027,-0.20917046,-0.06711297,-0.0077964664,-0.14864707,-0.048915803,0.06409204,-0.20616776,-0.029286718,0.07743645,-0.29467678,-0.05965257,0.08064926,-0.35404894,-0.06464679,0.083412886,-0.41213986,-0.060129788
-0.061169386,-0.048084438,-0.020273514,-0.10408169,-0.16936147,-0.024223635,-0.12533045,-0.25964004,-0.030314326,-0.1523931,-0.3171271,-0.0359567,-0.048633575,-0.24344617,-0.014167036,-0.048527896,-0.36140507,-0.033980094,-0.044404864,-0.4324603,-0.042281374,-0.043143213,-0.493583,-0.047416795,-0.011802554,-0.23747528,-0.017592488,-0.0152722,-0.29640412,-0.068991244,-0.027585626,-0.21347117,-0.081275634,-0.036937296,-0.14741659,-0.07459832,0.026158988,-0.2233234,-0.024036668,0.02568835,-0.28714728,-0.071870066,0.00787586,-0.21172196,-0.06823636,-0.0063614845,-0.15147686,-0.049475253,0.064341605,-0.20561516,-0.032050226,0.07650316,-0.29559076,-0.06230138,0.07913405,-0.3559851,-0.06690017,0.0821349,-0.41438586,-0.062139757
-0.06186965,-0.050372362,-0.018369222,-0.104679585,-0.17045856,-0.022478145,-0.12776881,-0.2600317,-0.02942392,-0.15691614,-0.3161366,-0.0361515,-0.049221694,-0.24575245,-0.01269129,-0.04961148,-0.36590594,-0.03363345,-0.046135306,-0.43830758,-0.043115184,-0.045328975,-0.50062263,-0.049010303,-0.012390614,-0.23846853,-0.017507758,-0.015809417,-0.29778755,-0.07149588,-0.02819693,-0.21366805,-0.085445866,-0.036930144,-0.14703065,-0.07939437,0.025621772,-0.22428751,-0.02510666,0.025764704,-0.2893343,-0.07465141,0.0070970654,-0.2133426,-0.07124812,-0.0072754025,-0.15240413,-0.052135896,0.06339985,-0.20715868,-0.034124557,0.07657349,-0.29826373,-0.06528396,0.07924229,-0.3606417,-0.06985901,0.08241868,-0.4205346,-0.06476658
-0.06350723,-0.04938239,-0.018973563,-0.10676625,-0.17367584,-0.02270377,-0.12897098,-0.26519477,-0.029160477,-0.16099912,-0.31762463,-0.035584416,-0.05208212,-0.24485272,-0.015060029,-0.05544859,-0.36586234,-0.036512293,-0.05430892,-0.43773174,-0.04532989,-0.05585283,-0.5002204,-0.05035724,-0.015783608,-0.23944199,-0.019773774,-0.019624352,-0.2982391,-0.073620886,-0.030109644,-0.21320206,-0.086060844,-0.037433326,-0.14648223,-0.07858628,0.021350741,-0.22585618,-0.02738221,0.02011472,-0.28697497,-0.07696886,0.0046996474,-0.20932108,-0.07258435,-0.006834507,-0.14864689,-0.052375138,0.059326768,-0.20953572,-0.036515538,0.067566335,-0.3037539,-0.06711832,0.06707865,-0.36663043,-0.07052941,0.06774187,-0.42616904,-0.06450236
-0.06355202,-0.052832127,-0.020034986,-0.10648319,-0.17389315,-0.02303991,-0.12962791,-0.2631327,-0.028461453,-0.15897685,-0.3187812,-0.03343999,-0.053298533,-0.23808986,-0.008709786,-0.055640697,-0.34825057,-0.028474376,-0.056357324,-0.41437533,-0.0365127,-0.05923769,-0.47377717,-0.040889923,-0.017128408,-0.23602599,-0.012525489,-0.02273339,-0.29892063,-0.064724445,-0.032407045,-0.21792096,-0.07829558,-0.037172914,-0.14967704,-0.071155235,0.019450307,-0.22487694,-0.019605558,0.015859902,-0.28533393,-0.06877273,0.0010506511,-0.2081734,-0.06640236,-0.008604586,-0.1458059,-0.046795823,0.056880355,-0.21047151,-0.02821991,0.06309855,-0.30442303,-0.05735797,0.06092,-0.367478,-0.061087977,0.05931306,-0.42582512,-0.05536126
-0.06472802,-0.062321186,-0.008541542,-0.10390589,-0.17897534,-0.008992366,-0.123954326,-0.26527983,-0.016216755,-0.14235574,-0.32830226,-0.018710436,-0.046770275,-0.24188358,0.01811106,-0.052600265,-0.3234734,-0.012093564,-0.056262642,-0.25778723,-0.025844963,-0.056016445,-0.20345688,-0.025759697,-0.012759566,-0.23462796,0.010875539,-0.01701492,-0.2980132,-0.03400809,-0.026799858,-0.2148692,-0.05047193,-0.031775355,-0.15101707,-0.046316948,0.021838605,-0.22491461,-0.001681121,0.015484154,-0.2853967,-0.040206127,-9.441376e-05,-0.20473623,-0.0398152,-0.008374512,-0.14005518,-0.022981476,0.056358516,-0.2155593,-0.015322902,0.060207903,-0.30667883,-0.032229368,0.0544191,-0.36955088,-0.033069316,0.049134612,-0.4261696,-0.025930135
-0.06806767,-0.06466937,-0.005227814,-0.108447134,-0.17698026,-0.0033775303,-0.12747252,-0.26110643,-0.008725256,-0.1442836,-0.3222944,-0.010719028,-0.05061418,-0.2350356,0.024797888,-0.05910003,-0.3017326,-0.002694799,-0.058080852,-0.2369892,-0.017639792,-0.056183934,-0.18176728,-0.018193517,-0.01699841,-0.23113501,0.017867375,-0.022445977,-0.2924422,-0.022437088,-0.02732879,-0.20905262,-0.03969379,-0.030035079,-0.14265305,-0.036756605,0.017474473,-0.22412467,0.006002537,0.013736784,-0.2815935,-0.029798383,0.0007469654,-0.20018226,-0.031982,-0.006954193,-0.13179868,-0.017050492,0.05075735,-0.21712601,-0.0063893013,0.050863504,-0.3093378,-0.020166721,0.044365942,-0.37261263,-0.020291999,0.03815061,-0.42801642,-0.013064659
-0.06614599,-0.06703371,-0.0037061768,-0.10544506,-0.18095386,-0.0012209037,-0.123331636,-0.26443017,-0.006524083,-0.1379599,-0.32617253,-0.008009178,-0.04672569,-0.23589206,0.027674263,-0.056559056,-0.3041911,-0.0004550965,-0.055253834,-0.24024838,-0.014650333,-0.053108275,-0.18732148,-0.013968048,-0.013193786,-0.23071241,0.019632692,-0.019411147,-0.29139358,-0.021669697,-0.02340746,-0.20913106,-0.038466357,-0.026925147,-0.14435035,-0.03429371,0.020583272,-0.22329068,0.006578464,0.014195859,-0.27830195,-0.029944615,0.004792273,-0.19624501,-0.031262323,-0.0010006428,-0.1296472,-0.014877942,0.053753078,-0.21669394,-0.0069505763,0.053916335,-0.3074789,-0.020036595,0.048609614,-0.3700103,-0.019036323,0.043311,-0.42534417,-0.010549002
-0.06552175,-0.06702989,-0.0025568162,-0.104524404,-0.17876297,0.0004954507,-0.12175742,-0.25907075,-0.004270365,-0.13650593,-0.31815517,-0.005360766,-0.0440104,-0.2334227,0.027080707,-0.053884983,-0.29894567,0.00038227043,-0.05427277,-0.23369622,-0.012928305,-0.052108288,-0.18055046,-0.012218142,-0.010060549,-0.22742862,0.018839598,-0.017457247,-0.28506118,-0.02176868,-0.023774922,-0.20296562,-0.038037714,-0.027435303,-0.13861537,-0.03405116,0.02376628,-0.21867067,0.0058026393,0.016637206,-0.27107686,-0.030070229,0.004127264,-0.19089878,-0.031825695,-0.0028495193,-0.12512833,-0.01634488,0.056616306,-0.211169,-0.007567414,0.05882114,-0.30149883,-0.021285152,0.053355753,-0.36469096,-0.021601466,0.047914565,-0.41963077,-0.014359446
-0.06651756,-0.06634152,-0.006067675,-0.10653621,-0.17900336,-0.004136542,-0.1254622,-0.26165038,-0.009199711,-0.14121777,-0.3217969,-0.0107083,-0.046884835,-0.23246664,0.02510309,-0.053711474,-0.29862112,-0.0022581185,-0.053913534,-0.23485547,-0.016691351,-0.052716613,-0.18091333,-0.016702646,-0.01261878,-0.22693974,0.018880896,-0.016806126,-0.28748488,-0.02165706,-0.023405075,-0.20506984,-0.038613275,-0.02721101,-0.13896447,-0.03512007,0.021820426,-0.21881449,0.007592485,0.017321706,-0.27404296,-0.028608188,0.0038349032,-0.1941548,-0.031101083,-0.0045083165,-0.12738091,-0.016000388,0.05500686,-0.21116698,-0.0041969903,0.056346536,-0.30149925,-0.017841527,0.050739408,-0.36385265,-0.018034615,0.044918,-0.4184338,-0.010708168
